,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
ZS1 down,0.0,0.0,0.0,0.3,-0.48541019999999996,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.2879427219804514,-0.5758854439609028,-0.2879427219804514,0.01205727801954859,-0.7733529219804514,-0.9967118273019551,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-0.7733529219804514,-1.2587631219804514,-0.7733529219804514,-0.47335292198045137,0.01205727801954859,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137,-0.47335292198045137
ZS2 up,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7854102,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.6,-0.18541019999999997,0.3,0.11458980754679998,0.4145898,0.27496087801609925,0.34364813931452887,0.3113858588912418,0.29043590673229736,0.3043490109772521,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,-0.18541019999999997,0.3,0.11458980754679998,0.4145898,0.24376140571726446,0.3437694075468,0.2785187690962006,0.316718425523021,0.29179490015659937,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624,0.30638587012332624
ZS2 down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.48541019999999996,-0.27535823795043946,-1.2708204075467997,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.9708203999999999,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.48541019999999996,-0.18541019999999997,0.3,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,0.11458980000000002,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,-0.18541019999999997,0.11458980000000002,-0.6708204,-0.18541019999999997,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532,-0.3708203924532
ZS3 up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.48541019999999996,0.0,-0.1854101924532,0.1145898,-0.04766384024814189,0.004132905344803439,-0.023621940229028564,-0.009022778021521126,0.0015786293229331906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.48541019999999996,0.0,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.3708203849064,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,0.11458980754679998,-0.6708203924531999,-0.1854101924532,-0.3708203849064,-0.0708203924532,-0.26715571092862006,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064,-0.1416407849064
ZS3 down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7854102,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,-0.18541019999999997,0.3,0.11458980754679998,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.5291796,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.4145898,0.7145897999999999,-0.07082039999999995,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858,0.15984231589854858
ZS4 up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7854102,1.6916812044007818,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,1.5708204,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,1.0854101999999999,0.3,0.7854102,0.6000000075467999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,1.0145898,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,1.2,0.41458979999999995,0.8999999999999999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999,0.7145898075467999
ZS4 down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7854102,1.5708204075467997,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,1.5708204,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,0.7854102,1.0854101999999999,0.3,0.7854102,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.41458981509359993,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.6000000075467999,0.9000000075468,0.11458980754679998,0.6000000075467999,0.41458981509359993,0.7145898075467999,0.6308842828114241,0.6308842828114241,0.6308842828114241,0.6308842828114241,0.6308842828114241,0.6308842828114241,0.6308842828114241,0.6308842828114241
ZS5 up,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7854102,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,-0.18541019999999997,0.014725257230238986,0.3,0.4145898,0.19103474760320543,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.2517348540783761,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.27586742703918804,0.575867427039188,-0.20954277296081192,0.27586742703918804,0.09045723458598803,0.09045723458598803,0.09045723458598803,0.09045723458598803
ZS5 down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.48541019999999996,0.0,-0.1854101924532,-0.3708203849064,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,-0.1854101924532,0.11458980754679998,0.6000000075467999,0.3896056391447533,0.11458980754679998,0.41458980754679997,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.11458980754679998,0.41458980754679997,0.9000000075468,0.41458980754679997
intensity,,1.172906791233475,1.1195927463994857,1.3082881891819411,1.0880549381260893,1.0729431606967021,1.051738679908988,1.3513952576604285,1.0386584134507182,1.2409944635153645,1.0135261857555145,1.0217642369492266,1.2875317248898106,1.0573932152851835,1.1071528311970444,1.0949864001474203,1.0344064049940884,1.0935557540375715,1.1195928399303663,1.0387974884352253,1.0809861749305794,1.0729430959384059,1.0944334069602868,1.1637873712619562,1.0698331203634868,1.1959287146676665,1.0473610458607843,1.0353223839254142,1.0208052032754282,1.2046252526518888,1.0926147019536705,1.0598811730479998,1.0029685676686675,1.0164724095283184,1.0203883960913533,1.0129649014157576,1.0216284847246417,0.9580020738825635,0.9996364803644902,1.0692740396569822,1.0166416993889393,0.975129166946442,1.314304580162049,0.9838845834319884,1.0765315711382641,0.9025288625370308,0.9885766731430455,0.9196654976517388,1.1677473763882757,1.202966720302515,0.84754225325663,1.0361914109985526,0.989407565814647,0.9751292517912025,0.9446564551304047,0.9719542051671302,0.9434770363063485,0.9537272316461652,0.94347712205506,1.4609321180041719,0.9824998505943946,1.4794618789179264,1.0135261106387181,0.9504264930621761,0.9205540838847834,0.9796436705909873,1.105597920201295,0.9290238496114489,0.9464599332290193,0.9021961514792128,0.9596509645423422,0.9290238301368234,0.9307458959639852,0.9463224604441585,0.8879529138181494,0.8902786180071656,0.913066008792874,0.9368021291745006,0.9220176335615068,0.9729794108399927,0.913953295098587,0.9479623907175895,0.9747043505007832,1.0236277038636532,0.9920442583541722,0.9663853457035041,0.9057379977056494,0.8982779579474062,0.9463224490533091,0.9220176006583305,1.3830263738925992,0.9361127410835747,0.8868061737867698,0.9965606111259376,0.9236640453661146,1.1610591874429084,1.0580767461575786,0.876203090588599,0.9088459572308268,0.939013344139129,0.888748922896274,0.9260828791547552,0.903767694840918,0.9483609643316232,0.9290237901648817,0.8561592286749944,1.0580767696702547,0.9492199906557682,0.9033078229204856,0.876203090588599,1.038658401554245,1.0366600056469903,0.9243149825809827,0.9248810143700114,0.928753116709657,0.9577240297143317,0.9171133017120623,0.9827536419812106,0.9139533038822429,0.900542067174858,1.03532239326501,0.9675493611339037,0.9329939787449265,0.918640306733201,0.9196655087217197,0.9747043157395291,0.9127115406221837,0.9284428089988447,0.9147891966471217,0.8427042649719866,0.9373334886988737,0.8981349106697026,0.9528449049235919,0.9420963410447475,0.8932921551830089,0.9637001331158169,0.9463224835898562
